Time (hr),Loss AC (kW),Load AC (kW),Net Meter AC (kW),Solar AC (kW),Battery AC (kW),Battery SOC AC,Loss DC (kW),Load DC (kW),Net Meter DC (kW),Solar DC (kW),Battery DC (kW),Battery SOC DC
8229.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.000133390974951908,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.000133390974951908
8230.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.0001332576503045857,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.0001332576503045857
8231.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.00013312445662450045,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.00013312445662450045
8232.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.0001329914084635675,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.0001329914084635675
8233.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.00013285847671795636,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.00013285847671795636
8234.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.00013272569049149752,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.00013272569049149752
8235.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.0001325930206803605,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.0001325930206803605
8236.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.00013246049638837576,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.00013246049638837576
8237.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.00013232810306362808,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.00013232810306362808
8238.0,4.87438330078125,33.35879296875,-35.4498515625,2.746116455078125,0.0,0.00013219584070611745,4.58717138671875,33.35879296875,-33.8066875,2.746116455078125,0.0,0.00013219584070611745
8239.0,6.8663486328125,20.9021875,13.478158203125,41.20209765625,0.0,0.00013206370931584388,3.30523583984375,20.9021875,17.083650390625,41.20209765625,0.0,0.00013206370931584388
8240.0,9.2316845703125,18.7713515625,109.1147109375,136.74184375,0.0,0.0001319317234447226,6.10933154296875,18.7713515625,112.0192890625,136.74184375,0.0,0.0001319317234447226
8241.0,11.5536826171875,18.776369140625,167.310421875,196.872984375,0.0,0.00013179985398892313,7.98452734375,18.776369140625,170.385625,196.872984375,0.0,0.00013179985398892313
