Time (hr),Loss AC (kW),Load AC (kW),Net Meter AC (kW),Solar AC (kW),Battery AC (kW),Battery SOC AC,Loss DC (kW),Load DC (kW),Net Meter DC (kW),Solar DC (kW),Battery DC (kW),Battery SOC DC
5582.0,14.0449951171875,130.6631171875,-144.476234375,0.0,0.0,0.0018823605496436357,9.0993857421875,130.6631171875,-138.536390625,0.0,0.0,0.0018823605496436357
5583.0,14.5534697265625,133.6990625,-148.00778125,0.0,0.0,0.0018804790452122688,9.3487001953125,133.6990625,-141.756078125,0.0,0.0,0.0018804790452122688
5584.0,13.2547841796875,118.668703125,-131.707734375,0.0,0.0,0.001878599519841373,7.8818212890625,118.668703125,-125.497671875,0.0,0.0,0.001878599519841373
5585.0,8.6765537109375,77.4627265625,-86.04990625,0.0,0.0,0.0018767218571156263,4.87179736328125,77.4627265625,-81.9276015625,0.0,0.0,0.0018767218571156263
5586.0,9.0922666015625,78.8503984375,-87.868203125,0.0,0.0,0.001874846057035029,5.039578125,78.8503984375,-83.46659375,0.0,0.0,0.001874846057035029
5587.0,10.0144619140625,82.229828125,-92.120796875,0.0,0.0,0.0018729722360149026,6.2948603515625,82.229828125,-86.9003203125,0.0,0.0,0.0018729722360149026
5588.0,10.5056455078125,84.55690625,-94.903890625,0.0,0.0,0.0018711001612246037,6.33968994140625,84.55690625,-89.2623203125,0.0,0.0,0.0018711001612246037
5589.0,5.147080078125,41.2635546875,-46.36539453125,0.0,0.0,0.001869229949079454,4.78427392578125,41.2635546875,-44.57273828125,0.0,0.0,0.001869229949079454
5590.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.0018673617159947753,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.0018673617159947753
5591.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.001865495229139924,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.001865495229139924
5592.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.0018636307213455439,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.0018636307213455439
5593.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.001861767959780991,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.001861767959780991
5594.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.0018599071772769094,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.0018599071772769094
5595.0,4.9650107421875,38.99883203125,-43.9185859375,0.0,0.0,0.001858048141002655,4.671462890625,38.99883203125,-42.19437109375,0.0,0.0,0.001858048141002655
5596.0,5.279509765625,42.18004296875,-47.4154375,0.0,0.0,0.0018561910837888718,4.73435302734375,42.18004296875,-45.50416796875,0.0,0.0,0.0018561910837888718
5597.0,9.309240234375,77.0904765625,-85.98721875,0.0,0.0,0.001854335772804916,4.3372607421875,77.0904765625,-80.7574375,0.0,0.0,0.001854335772804916
5598.0,11.1692314453125,91.7067578125,-102.5529140625,0.0,0.0,0.001852482440881431,4.932701171875,91.7067578125,-96.149796875,0.0,0.0,0.001852482440881431
5599.0,17.045890625,141.102,-157.89621875,0.0,0.0,0.0018506308551877737,9.9925126953125,141.102,-149.64684375,0.0,0.0,0.0018506308551877737
5600.0,14.4803056640625,127.44240625,-141.739,0.0,0.0,0.0018487811321392655,9.0494267578125,127.44240625,-135.272921875,0.0,0.0,0.0018487811321392655
5601.0,14.048392578125,127.439484375,-141.29371875,0.0,0.0,0.0018469332717359066,8.97005859375,127.439484375,-135.214015625,0.0,0.0,0.0018469332717359066
5602.0,14.3104267578125,131.320296875,-145.40628125,0.0,0.0,0.001845087273977697,9.2109736328125,131.320296875,-139.275546875,0.0,0.0,0.001845087273977697
5603.0,14.299615234375,132.65471875,-146.71546875,0.0,0.0,0.0018432431388646364,9.2352275390625,132.65471875,-140.632828125,0.0,0.0,0.0018432431388646364
5604.0,14.7513828125,136.745953125,-151.2261875,0.0,0.0,0.0018414007499814034,9.49431640625,136.745953125,-144.917578125,0.0,0.0,0.0018414007499814034
5605.0,14.19352734375,133.64759375,-147.581203125,0.0,0.0,0.0018395603401586413,9.1986435546875,133.64759375,-141.602609375,0.0,0.0,0.0018395603401586413
5606.0,14.1714208984375,133.113359375,-147.031421875,0.0,0.0,0.0018377216765657067,9.1903310546875,133.113359375,-141.060515625,0.0,0.0,0.0018377216765657067
5607.0,14.6439541015625,135.56375,-149.945734375,0.0,0.0,0.0018358848756179214,9.41876171875,135.56375,-143.6771875,0.0,0.0,0.0018358848756179214
5608.0,13.3217705078125,119.7209453125,-132.81884375,0.0,0.0,0.0018340499373152852,7.91538525390625,119.7209453125,-126.577171875,0.0,0.0,0.0018340499373152852
5609.0,8.6348447265625,76.84665625,-85.3947265625,0.0,0.0,0.0018322167452424765,4.85299853515625,76.84665625,-81.2947421875,0.0,0.0,0.0018322167452424765
5610.0,8.961119140625,77.9811328125,-86.86978125,0.0,0.0,0.001830385415814817,5.014560546875,77.9811328125,-82.573671875,0.0,0.0,0.001830385415814817
5611.0,9.9255615234375,81.7867734375,-91.59296875,0.0,0.0,0.0018285559490323067,6.280111328125,81.7867734375,-86.44525,0.0,0.0,0.0018285559490323067
5612.0,10.25826171875,83.04403125,-93.1536875,0.0,0.0,0.0018267283448949456,6.2920205078125,83.04403125,-87.7085390625,0.0,0.0,0.0018267283448949456
5613.0,5.147080078125,41.2635546875,-46.36539453125,0.0,0.0,0.001824902486987412,4.78427392578125,41.2635546875,-44.57273828125,0.0,0.0,0.001824902486987412
5614.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.0018230784917250276,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.0018230784917250276
5615.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.0018212563591077924,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.0018212563591077924
5616.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.0018194359727203846,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.0018194359727203846
5617.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.001817617448978126,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.001817617448978126
5618.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.0018158007878810167,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.0018158007878810167
5619.0,4.9650107421875,38.99883203125,-43.9185859375,0.0,0.0,0.0018139858730137348,4.671462890625,38.99883203125,-42.19437109375,0.0,0.0,0.0018139858730137348
5620.0,5.276388671875,42.1623046875,-47.3945859375,0.0,0.0,0.0018121728207916021,4.7341640625,42.1623046875,-45.48624609375,0.0,0.0,0.0018121728207916021
5621.0,9.1819892578125,74.706921875,-83.509171875,0.0,0.0,0.0018103615147992969,4.2458935546875,74.706921875,-78.308984375,0.0,0.0,0.0018103615147992969
5622.0,10.7474326171875,87.4522109375,-97.915375,0.0,0.0,0.0018085520714521408,4.78874951171875,87.4522109375,-91.7808984375,0.0,0.0,0.0018085520714521408
5623.0,16.921271484375,140.346765625,-157.0215,0.0,0.0,0.001806744490750134,9.96605078125,140.346765625,-148.86859375,0.0,0.0,0.001806744490750134
5624.0,14.507439453125,129.3156796875,-143.627828125,0.0,0.0,0.0018049386562779546,9.1146787109375,129.3156796875,-137.20246875,0.0,0.0,0.0018049386562779546
5625.0,14.0820859375,129.382890625,-143.25296875,0.0,0.0,0.0018031345680356026,9.0424111328125,129.382890625,-137.2158125,0.0,0.0,0.0018031345680356026
5626.0,14.280166015625,131.76434375,-145.811875,0.0,0.0,0.0018013323424383998,9.2307734375,131.76434375,-139.732984375,0.0,0.0,0.0018013323424383998
5627.0,14.2714287109375,132.97103125,-146.997109375,0.0,0.0,0.0017995318630710244,9.2499052734375,132.97103125,-140.9586875,0.0,0.0,0.0017995318630710244
5628.0,14.832046875,137.713875,-152.26465625,0.0,0.0,0.0017977332463487983,9.5314814453125,137.713875,-145.91484375,0.0,0.0,0.0017977332463487983
5629.0,14.45996875,136.51971875,-150.6895,0.0,0.0,0.0017959364922717214,9.30876953125,136.51971875,-144.56165625,0.0,0.0,0.0017959364922717214
5630.0,14.5137734375,137.00621875,-151.226640625,0.0,0.0,0.00179414136800915,9.3389482421875,137.00621875,-145.071203125,0.0,0.0,0.00179414136800915
5631.0,14.8668271484375,138.449421875,-153.0261875,0.0,0.0,0.001792348106391728,9.528123046875,138.449421875,-146.650375,0.0,0.0,0.001792348106391728
5632.0,13.3645107421875,120.5378515625,-133.671109375,0.0,0.0,0.001790556707419455,7.94230908203125,120.5378515625,-127.41521875,0.0,0.0,0.001790556707419455
5633.0,8.6359697265625,77.1337109375,-85.6809765625,0.0,0.0,0.0017887670546770096,4.86412841796875,77.1337109375,-81.5914140625,0.0,0.0,0.0017887670546770096
5634.0,9.17819140625,80.7765078125,-89.878265625,0.0,0.0,0.0017869791481643915,5.37287060546875,80.7765078125,-85.58603125,0.0,0.0,0.0017869791481643915
5635.0,9.9061611328125,82.697046875,-92.4828203125,0.0,0.0,0.0017851931042969227,6.3059599609375,82.697046875,-87.3801875,0.0,0.0,0.0017851931042969227
