"PVWatts: Hourly PV Performance Data"
"Requested Location:","san francisco"
"Location:","SAN FRANCISCO INTL AP, CA"
"Lat (deg N):","37.62"
"Long (deg W):","122.4"
"Elev (m):","2"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","37.8"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","17.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"2","15","19","0","0","16.9","1","0","16.9","0","0"
"2","15","20","0","0","15.9","0.5","0","15.9","0","0"
"2","15","21","0","0","15","0","0","15","0","0"
"2","15","22","0","0","14.3","0.7","0","14.3","0","0"
"2","15","23","0","0","13.5","1.4","0","13.5","0","0"
"2","16","0","0","0","12.8","2.1","0","12.8","0","0"
"2","16","1","0","0","12.1","1.7","0","12.1","0","0"
"2","16","2","0","0","11.3","1.4","0","11.3","0","0"
"2","16","3","0","0","10.6","1","0","10.6","0","0"
"2","16","4","0","0","10.4","1.5","0","10.4","0","0"
"2","16","5","0","0","10.2","2.1","0","10.2","0","0"
"2","16","6","0","0","10","2.6","0","10","0","0"
"2","16","7","31","29","11.3","2.4","41.526","10.74","36.529","30.284"
"2","16","8","235","105","12.6","2.3","245.253","17.316","213.199","203.025"
"2","16","9","502","133","13.9","2.1","530.896","26.965","448.813","431.743"
"2","16","10","474","197","15.4","2.1","660.809","32.649","547.089","526.583"
"2","16","11","553","223","16.8","2.1","814.876","38.251","657.002","632.264"
"2","16","12","472","257","18.3","2.1","788.798","39.493","632.117","608.374"
"2","16","13","408","225","18.1","3.5","670.674","33.519","553.522","532.78"
"2","16","14","448","222","18","4.8","651.634","30.823","544.042","523.648"
"2","16","15","152","149","17.8","6.2","264.27","22.055","228.997","218.419"
"2","16","16","44","92","16.3","6.4","113.873","17.416","100.205","92.666"
"2","16","17","2","22","14.8","6.5","19.834","14.121","17.824","11.932"
"2","16","18","0","0","13.3","6.7","0","13.3","0","0"
"2","16","19","0","0","12.8","5.8","0","12.8","0","0"
"2","16","20","0","0","12.2","5","0","12.2","0","0"
"2","16","21","0","0","11.7","4.1","0","11.7","0","0"
"2","16","22","0","0","11.3","3.8","0","11.3","0","0"
"2","16","23","0","0","11","3.4","0","11","0","0"
"2","17","0","0","0","10.6","3.1","0","10.6","0","0"
"2","17","1","0","0","10.4","3.1","0","10.4","0","0"
"2","17","2","0","0","10.2","3.1","0","10.2","0","0"
"2","17","3","0","0","10","3.1","0","10","0","0"
"2","17","4","0","0","9.1","2.9","0","9.1","0","0"
"2","17","5","0","0","8.1","2.8","0","8.1","0","0"
"2","17","6","0","0","7.2","2.6","0","7.2","0","0"
"2","17","7","1","30","9.2","2.2","27.49","7.96","25.483","19.448"
"2","17","8","47","97","11.3","1.9","120.436","12.712","108.472","100.755"
"2","17","9","82","194","13.3","1.5","258.843","19.337","227.936","217.385"
"2","17","10","269","215","15.2","1","485.28","29.623","407.833","392.098"
"2","17","11","312","232","17","0.5","572.937","37.375","463.988","446.408"
