Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/04  12:00:00,452781845.889225,43554539.9082527,0.0,173690957.559793,0.0,223397067.449903,12108896.6324531,30384.3388235294,7882790.92976434,0.0,7882790.92976434 
 01/04  13:00:00,451989210.830096,44416371.7214469,0.0,173690957.559793,0.0,221437412.824822,12414084.3852106,30384.3388235294,11792397.5155734,0.0,11792397.5155734 
 01/04  14:00:00,437888978.96433,22414341.0291802,0.0,173690957.559793,0.0,229176847.669683,12576448.36685,30384.3388235294,7885492.13597323,0.0,7885492.13597323 
 01/04  15:00:00,422702370.299175,20295726.8310003,0.0,173690957.559793,0.0,216461331.186166,12223970.3833912,30384.3388235294,7879665.76926649,0.0,7879665.76926649 
 01/04  16:00:00,428902948.164321,26490752.4194994,0.0,173690957.559793,0.0,216461331.186166,12229522.6600383,30384.3388235294,7877675.36874758,0.0,7877675.36874758 
 01/04  17:00:00,479540834.824696,57564508.3013929,0.0,173690957.559793,8882400.,226864935.581771,12507649.0429161,30384.3388235294,7881406.45929118,0.0,7881406.45929118 
 01/04  18:00:00,517140702.844466,89880279.7039846,0.0,135092966.99095,53294400.,226061237.000646,12781434.8100614,30384.3388235294,3974122.73170002,0.0,3974122.73170002 
 01/04  19:00:00,413292720.021885,121801493.077774,0.0,96494976.4221072,53294400.,129665444.234001,12006021.9491793,30384.3388235294,3973366.20981826,0.0,3973366.20981826 
 01/04  20:00:00,414536816.306992,132293237.714529,0.0,96494976.4221072,53294400.,120417795.882353,12006021.9491793,30384.3388235294,3972381.97972856,0.0,3972381.97972856 
 01/04  21:00:00,378598102.976372,154251510.237173,0.0,57896985.8532643,53294400.,101118800.597931,12006021.9491793,30384.3388235294,3972729.94642255,0.0,3972729.94642255 
 01/04  22:00:00,382846594.64205,163123826.078675,0.0,57896985.8532643,53294400.,96494976.4221072,12006021.9491793,30384.3388235294,3971220.86932363,0.0,3971220.86932363 
 01/04  23:00:00,149819760.760931,0.0,0.0,19298995.2844214,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/04  24:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,3970769.56405658,0.0,3970769.56405658 
 01/05  01:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/05  02:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,3970769.98432635,0.0,3970769.98432635 
 01/05  03:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/05  04:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/05  05:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,3970769.55876434,0.0,3970769.55876434 
 01/05  06:00:00,149819760.760931,0.0,0.0,19298995.2844214,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/05  07:00:00,509356839.833996,347531057.123886,0.0,19298995.2844214,53294400.,77195981.1376857,12006021.9491793,30384.3388235294,3971354.38623201,0.0,3971354.38623201 
 01/05  08:00:00,483265043.717371,269030008.899956,0.0,57896985.8532643,26647200.,117654442.676147,12006021.9491793,30384.3388235294,9082177.88272161,5109231.92110859,3972945.96161302 
 01/05  09:00:00,567952615.64527,128554239.463575,0.0,173690957.559793,0.0,253451924.59276,12225109.6903183,30384.3388235294,7930557.049124,51564.1420808369,7878992.90704316 
 01/05  10:00:00,492992379.15709,83867947.8593911,0.0,173690957.559793,0.0,223397067.449903,12006021.9491793,30384.3388235294,3975501.06960099,0.0,3975501.06960099 
 01/05  11:00:00,451682976.490204,49494281.4562417,0.0,173690957.559793,0.0,216461331.186166,12006021.9491793,30384.3388235294,7880647.16534075,0.0,7880647.16534075 
 01/05  12:00:00,456651772.308661,47198000.6202605,0.0,173690957.559793,0.0,223397067.449903,12335362.3398812,30384.3388235294,11787570.4505482,0.0,11787570.4505482 
 01/05  13:00:00,462896256.224107,54091476.1547532,0.0,173690957.559793,0.0,221437412.824822,13646025.3459148,30384.3388235294,7886453.74068457,0.0,7886453.74068457 
 01/05  14:00:00,443105673.109708,25449166.8391702,0.0,173690957.559793,0.0,229176847.669683,14758316.7022382,30384.3388235294,11791001.6942598,0.0,11791001.6942598 
 01/05  15:00:00,418542397.958539,14745787.7782635,0.0,173690957.559793,0.0,216461331.186166,13613937.095493,30384.3388235294,7878611.88301736,0.0,7878611.88301736 
 01/05  16:00:00,419339039.69302,16640880.9385006,0.0,173690957.559793,0.0,216461331.186166,12515485.6697362,30384.3388235294,3975284.4297288,0.0,3975284.4297288 
 01/05  17:00:00,453977596.352078,31885400.4242635,0.0,173690957.559793,8882400.,226864935.581771,12623518.4474265,30384.3388235294,7881096.31973932,0.0,7881096.31973932 
 01/05  18:00:00,495653485.994704,68321132.4186094,0.0,135092966.99095,53294400.,226061237.000646,12853365.2456747,30384.3388235294,7876958.17651936,0.0,7876958.17651936 
 01/05  19:00:00,401767113.321064,110275886.376953,0.0,96494976.4221072,53294400.,129665444.234001,12006021.9491793,30384.3388235294,3973029.59746834,0.0,3973029.59746834 
 01/05  20:00:00,406270681.665417,124027103.072954,0.0,96494976.4221072,53294400.,120417795.882353,12006021.9491793,30384.3388235294,3972158.14112202,0.0,3972158.14112202 
 01/05  21:00:00,374288425.270872,149941832.531673,0.0,57896985.8532643,53294400.,101118800.597931,12006021.9491793,30384.3388235294,3972631.24434146,0.0,3972631.24434146 
